fb_taxon_id	taxon_name	taxon_uri	phylum	class	order	family	genus	sl_mm	sl_sex	sl_ref	tl_mm	tl_sex	tl_ref	fl_mm	fl_sex	fl_ref	dw_mm	dw_sex	dw_ref	max_weight_g	max_weight_ref	benthic	pelagic	benthopelagic	bathypelagic	pelagic-neritic	pelagic-oceanic	demersal	reef-associated	anadromous	catadromous	amphidromous	potamodromous	limnodromous	oceanodromous	non-migratory	freshwater	brackish	marine	use_fisheries	use_aquaculture	use_gamefish	use_bait	use_aquarium	use_ref	phylo_div	phylo_div_ref	troph_level	troph_level_se	troph_level_ref	resil	resil_ref	resil_K	resil_tm	resil_tmax	resil_fec	vulnerab	vulnerab_ref	price	price_ref	main_ref
58191	Brycinus fwaensis	http://www.fishbase.org/summary/speciessummary.php?id=58191	Chordata	Actinopterygii	Characiformes	Alestidae	Brycinus	39	male/unsexed	39244													1														1									0.5000	82805	3.1	0.4	69278	less than 15 months	120179					10	59153	unknown	80766	39244
50441	Otocinclus flexilis	http://www.fishbase.org/summary/speciessummary.php?id=50441	Chordata	Actinopterygii	Siluriformes	Loricariidae	Otocinclus				55	male/unsexed	36885															1									1							commercial	12559	0.5000	82805					120179					10	59153			86395
8703	Etroplus maculatus	http://www.fishbase.org/summary/speciessummary.php?id=8703	Chordata	Actinopterygii	Perciformes	Cichlidae	Etroplus				80	male/unsexed	4833											1								1					1	1		commercial				commercial	6028;7020	0.6250	82805	2.7	0.1	69278	less than 15 months	120179					11	59153	unknown	80766	6028
49533	Simpsonichthys stellatus	http://www.fishbase.org/summary/speciessummary.php?id=49533	Chordata	Actinopterygii	Cyprinodontiformes	Rivulidae	Simpsonichthys				55	male/unsexed	27139											1												1	1									0.5000	82805	3.2	0.4	69278	less than 15 months	120179					10	59153			36579
10630	Toxotes oligolepis	http://www.fishbase.org/summary/speciessummary.php?id=10630	Chordata	Actinopterygii	Perciformes	Toxotidae	Toxotes				150	male/unsexed	2060											1													1									0.5156	82805	3.2	0.4	69278	less than 15 months	120179					19	59153			12912
59734	Hemimyzon ecdyonuroides	http://www.fishbase.org/summary/speciessummary.php?id=59734	Chordata	Actinopterygii	Cypriniformes	Balitoridae	Hemimyzon	42	male/unsexed	42935														1													1									0.5001	82805	3.1	0.4	69278		120179					10	59153			42935
59694	Paraliparis obtusirostris	http://www.fishbase.org/summary/speciessummary.php?id=59694	Chordata	Actinopterygii	Scorpaeniformes	Liparidae	Paraliparis	137																															1							0.5000	82805	3.5	0.5	69278	less than 15 months	120179					24	59153			42734
254	Hypomesus olidus	http://www.fishbase.org/summary/speciessummary.php?id=254	Chordata	Actinopterygii	Osmeriformes	Osmeridae	Hypomesus				200	male/unsexed	5723							50.0	56527		1			1				1							1	1	1	commercial					4931	0.5313	82805	3.2	0.3	69278	1.4 - 4.4 years	120179		2			29	59153	low	80766	33312
15264	Pseudorhombus tenuirastrum	http://www.fishbase.org/summary/speciessummary.php?id=15264	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Pseudorhombus	250	male/unsexed	9774																		1											1	commercial					9774	0.5000	82805	3.5	0.37	69278	less than 15 months	120179					27	59153	very high	80766	9774
23208	Coelorinchus hubbsi	http://www.fishbase.org/summary/speciessummary.php?id=23208	Chordata	Actinopterygii	Gadiformes	Macrouridae	Coelorinchus				230	male/unsexed	559											1															1							0.5000	82805	3.5	0.5	69278	1.4 - 4.4 years	120179					31	59153			559
1948	Pseudocaranx chilensis	http://www.fishbase.org/summary/speciessummary.php?id=1948	Chordata	Actinopterygii	Perciformes	Carangidae	Pseudocaranx																					1											1	subsistence fisheries		yes			171;4537	0.5625	82805	3.6	0.4	69278	1.4 - 4.4 years	120179					39	59153	medium	80766	89357
2071	Oreochromis niloticus baringoensis	http://www.fishbase.org/summary/speciessummary.php?id=2071	Chordata	Actinopterygii	Perciformes	Cichlidae	Oreochromis				360	male/unsexed	2											1													1	1																							
165	Lutjanus mizenkoi	http://www.fishbase.org/summary/speciessummary.php?id=165	Chordata	Actinopterygii	Perciformes	Lutjanidae	Lutjanus				320	male/unsexed	48635																1										1	minor commercial					171	0.5000	82805	3.8	0.6	69278	less than 15 months	120179					28	59153	high	80766	55
54778	Nandus oxyrhynchus	http://www.fishbase.org/summary/speciessummary.php?id=54778	Chordata	Actinopterygii	Perciformes	Nandidae	Nandus	69	male/unsexed	43281														1													1									0.5098	82805	3.3	0.4	69278	less than 15 months	120179					10	59153			43281
9013	Aldrovandia rostrata	http://www.fishbase.org/summary/speciessummary.php?id=9013	Chordata	Actinopterygii	Notacanthiformes	Halosauridae	Aldrovandia				508	male/unsexed	4448												1														1							0.5156	82805	3.5	0.50	69278	less than 15 months	120179					30	59153			4448
58407	Coris atlantica	http://www.fishbase.org/summary/speciessummary.php?id=58407	Chordata	Actinopterygii	Perciformes	Labridae	Coris																						1										1							0.5000	82805	3.5	0.4	69278	1.4 - 4.4 years	120179					46	59153			35918
57713	Geophagus altifrons	http://www.fishbase.org/summary/speciessummary.php?id=57713	Chordata	Actinopterygii	Perciformes	Cichlidae	Geophagus	225	male/unsexed	36377														1													1									0.5000	82805	2.2	0.1	69278	less than 15 months	120179					26	59153	unknown	80766	36377
9478	Atopochilus christyi	http://www.fishbase.org/summary/speciessummary.php?id=9478	Chordata	Actinopterygii	Siluriformes	Mochokidae	Atopochilus	95	male/unsexed	3202																		1									1									0.5078	82805	3.0	0.4	69278	less than 15 months	120179					12	59153			3202
8177	Cataetyx alleni	http://www.fishbase.org/summary/speciessummary.php?id=8177	Chordata	Actinopterygii	Ophidiiformes	Bythitidae	Cataetyx				120	male/unsexed	4758																										1	of no interest					34024	0.5002	82805	3.4	0.48	69278	1.4 - 4.4 years	120179					14	59153			34024
1055	Saurida undosquamis	http://www.fishbase.org/summary/speciessummary.php?id=1055	Chordata	Actinopterygii	Aulopiformes	Synodontidae	Saurida	230																					1			1							1	minor commercial					4931	0.5000	82805	4.5	0.4	69278	1.4 - 4.4 years	120179	0.3-0.9	1-2	8	84,802	39	59153	very high	80766	38189
